COD_ABI;BANCA
05164;BANCA POPOLARE LODI S.P.A. FUS BANCO POP
05188;BP DI VERONA S.GEMINIANO E S PROSPERO S.
05204;BANCA POPOLARE DI MANTOVA S.P.A.
05216;CREDITO VALTELLINESE
05228;BANCA POPOLARE DI CREMA S.P.A.  FUS BANC
05232;BANCA POPOLARE DI LAJATICO S.C.P.A.
05244;BANCA POPOLARE ANDRIESE
05256;BANCA POPOLARE DEL MEZZOGIORNO  S.P.A.
05262;BANCA POPOLARE PUGLIESE
05296;BANCA POPOLARE DI FONDI
05297;BANCA POPOLARE DEL FRUSINATE -  FROSINON
05308;BANCA POPOLARE DI ANCONA S.P.A. C/O UBI
05332;NUOVA BANCA MEDITERRANEA S.P.A.
05336;BANCA POPOLARE FRIULADRIA S.P.A.
05372;BANCA POPOLARE DEL CASSINATE
05385;BANCA POPOLARE DI PUGLIA E BASILICATA
05387;BANCA POPOLARE DELL'EMILIA ROMAGNA
05390;NUOVA BANCA DELL'ETRURIA E DEL  LAZIO S.
05392;BANCA DELLA CAMPANIA S.P.A. FUS  EMILIA
05414;B.POPOLARE DI APRILIA S.P.A. FUS B.POPOL
05424;BANCA POPOLARE DI BARI
05428;B.POP.DI BERGAMO-CRED.VARESINO  SCRL C/O
05437;BIPOP-CARIRE S.P.A.
05460;BANCA POPOLARE DELLA PROVINCIA  DI TREVI
05484;BANCA DI CIVIDALE FUS. BANCA POPOLARE DI
05496;BANCA POPOLARE DI CORTONA
05526;BANCO DI SAN GIORGIO SPA FUS BANCA REGIO
05550;B.POP.DI LANCIANO E SULMONA SPA FUS B.PO
05572;BANCA POPOLARE DI MAROSTICA FUS B.POP DE
05584;BANCA POPOLARE DI MILANO
05602;BANCA POPOLARE VESUVIANA
05608;BANCA POPOLARE DI NOVARA S.P.A. FUS. BAN
05618;BANCA POPOLARE DI TRIESTE SCRL
05640;BANCA POPOLARE DI RAVENNA SPA FUS EMILIA
05650;BANCA POPOLARE DI ROMA SPA FUS  C.R. DI
05652;SANFELICE 1893 BANCA POPOLARE
05676;BANCA DI SASSARI S.P.A
05696;BANCA POPOLARE DI SONDRIO
05704;BANCA POPOLARE DI SPOLETO SPA
05728;BANCA POPOLARE DI VICENZA S.P.A.
05747;BANCA POPOLARE DELLA PENISOLA SORRENTINA
05748;BANCA DELL'ADRIATICO S.P.A. FUS INTESASA
05772;BANCA POPOLARE SANT'ANGELO SCPA
